Date,AAPL,BA,CVX,JNJ,MCD,MMM,MRK,NIKE,PFE
28.04.1980,0.095495,2.161274,1.966198,0.601041,0.489933,1.839628,0.522056,0.129549,0.223116
29.04.1980,0.095495,2.154093,1.973296,0.604026,0.491413,1.826673,0.520136,0.129549,0.220282
30.04.1980,0.095495,2.096649,2.008787,0.604026,0.504735,1.822355,0.521096,0.129549,0.217449
01.05.1980,0.095495,2.039209,1.980394,0.602036,0.509175,1.809400,0.514379,0.129549,0.214616
02.05.1980,0.095495,1.953043,1.976844,0.603031,0.519536,1.839628,0.514379,0.129549,0.214616
05.05.1980,0.095495,2.067930,1.934255,0.605021,0.531378,1.874176,0.520136,0.129549,0.214616
06.05.1980,0.095495,1.967406,1.923609,0.610992,0.525457,1.839628,0.533572,0.129549,0.217449
07.05.1980,0.095495,1.931502,1.959098,0.609001,0.529897,1.856901,0.531652,0.129549,0.223116
08.05.1980,0.095495,1.888421,1.920059,0.611987,0.521017,1.852583,0.535492,0.129549,0.223116
09.05.1980,0.095495,1.884076,1.877470,0.611987,0.521017,1.835310,0.529733,0.129549,0.220282
12.05.1980,0.095495,1.963784,1.863273,0.614972,0.526937,1.839628,0.528774,0.129549,0.223116
13.05.1980,0.095495,1.985524,1.881018,0.614972,0.541739,1.882812,0.528774,0.129549,0.225949
14.05.1980,0.095495,1.985524,1.873920,0.619948,0.552100,1.887129,0.533572,0.129549,0.228782
15.05.1980,0.095495,1.956537,1.873920,0.631889,0.553580,1.891447,0.535492,0.129549,0.230907
16.05.1980,0.095495,1.942046,1.916510,0.630894,0.553580,1.913040,0.541249,0.129549,0.233740
19.05.1980,0.095495,1.949291,1.941354,0.627486,0.555060,1.915663,0.537411,0.129549,0.230907
20.05.1980,0.095495,1.891319,1.955551,0.630493,0.560981,1.920038,0.537411,0.129549,0.228782
21.05.1980,0.095495,1.934798,1.959098,0.634503,0.559501,1.906917,0.548926,0.129549,0.233740
22.05.1980,0.095495,1.971030,2.015885,0.640516,0.558020,1.924412,0.545088,0.129549,0.236573
23.05.1980,0.095495,1.985524,2.030081,0.654550,0.566902,1.937533,0.544128,0.129549,0.236573
27.05.1980,0.095495,1.949291,2.072670,0.647534,0.558020,1.937533,0.547007,0.129549,0.239407
28.05.1980,0.095495,1.949291,2.143652,0.646531,0.559501,1.928785,0.549886,0.129549,0.239407
29.05.1980,0.095495,1.913059,2.065572,0.642521,0.553580,1.920038,0.546047,0.129549,0.232891
